词条,创建年,摘要
闺蜜团,2019,摘要： 闺蜜团的来源和意思成都四个闺蜜随便在抖音上发个视频，火了以后，，就引起全国各地的妹子争相效防全国各地闺蜜全纷纷来应战，可以说是越来越精彩了。闺蜜团是几个闺蜜一起在动感的音乐下面展示才华，发布到抖音或者直
迷惑行为大赏,2020,摘要： 迷惑行为大赏的来源和意思迷惑行为大赏就是指给别人添麻烦、给别人带来困扰的行为的展示。迷惑行为大赏的使用例句迷惑行为大赏的英文翻译
姚明是jojo,2019,摘要： 姚明是jojo的来源和意思动画《jojo的奇妙冒险：黄金之风》的配乐《il vento d'oro》（黄金之风）中一句歌词“Golden wind is GioGio”的空耳。也常被称作够味是jojo
冷无缺,2014,摘要： 原先的冷无缺，变成了一个热情的，充满梦想的我
无厘头,2017,摘要： 无厘头
网抑云,2020,摘要： 因评论区中存在大量抑郁情绪发言而得名。（不针对抑郁症患者，但是不包括假装抑郁人设来博取别人的关心的人）这些用户的常用关键词有：失恋、考研、大海、酒精、52赫兹的鲸鱼有网友调侃道网易云音乐的用户人均经受考
你懂的,2015,摘要： 求片，悬赏500分，至于什么片，你懂的
磕死我了,2019,摘要： 磕死我了的来源和意思指“我喜欢的人/cp太好太甜了，他（们）的行为举止让我激动/开心/兴奋得不行”。“磕”则是指“喜欢并关注”。该词也经常被缩写为kswl。该词最常见的用法是CP粉（幻想或喜欢某两个明星
亮骚,2014,摘要： 俺是一个亮骚男
橘子树,2019,摘要： 橘子树的来源和意思常以“我去砍颗橘子树”、“砍橘子树”等形式出现。表达对方的言论十分惊世骇俗，非常优秀。该梗源自朱自清《背影》里的一句话“我买几个橘子去。你就在此地，不要走动。”后来当有人发表非常精彩的
略屌,2014,摘要： 不要嚣张，略屌而已
烎,2014,摘要： “烎队”的事迹传开，“烎”立刻成了游戏玩家的口头禅，因为“烎”即为“开火”：既传神，又达意，妙不可言。在游戏中，“烎”已经成为玩家们“遇强则强，斗志昂扬，热血沸腾，你越厉害我越要找你挑战，希望在竞争或
外星人偷狗事件,2019,摘要： 狗主人忙于工作怕狗子寂寞于是派遣了一个无人机照看它他们先是困惑你做出帮你遛狗狗的亚子，然后...
失足女,2015,摘要： 俺是一名失足女，但按不认为自己失足了哦
混脸熟,2014,摘要： 新人混脸熟，请大家多多关照
亲,2014,摘要： 亲，熬夜不好哦！！！亲，包邮哦！！！亲，快来看一看哦！！！
av,2014,摘要： av的来源和意思&nbsp; av一定是许多词的简称啦，可是它最常见的意义可不一般啊。。。&nbsp; 一般av即是英文audlt video（成人影视作品）的缩写啊，与黄片，a片，毛片等词是同一个意思
伤不起,2015,摘要： “伤不起”一词最初在豆瓣、校内上以文章标题的形式流行，被称为“校内体”。
弱爆,2014,摘要： 过去的上下床方式弱爆了，过去的灭火的方式弱爆了，过去的求婚方式弱爆了，这种做爱方式简直是弱爆了等等。在给力这个词快要淡出人们视线的时候，弱爆开始重度来袭，这个太“不给力”的词语甚至在很多网络达人那里都成
宏颜获水,2019,摘要： 来源百度AI开发者大会，李彦宏在演讲中遭遇观众泼水，现场一度陷入沉默。李彦宏淡定继续演讲:在AI前进的道路上会有各种各样的事情发生，但前进的决心不会改变，AI会改変每一个人的生活。道理人生就是这样，前进
ok,2019,摘要： OK是一个非正式的口语化的词。意&nbsp;思是：好的，可以接受的。也可以&nbsp;表示赞同，同意。OK又可以写成&nbsp;okay或者O.K.，发音一样。它也是&nbsp;世界知名度最高的一个英文
沃卓斯基兄弟,2019,摘要： 著名科幻电影《黑客帝国》三部曲的导演。后来哥哥率先做了变性手术，变成了沃卓斯基姐弟。之后弟弟也紧随其后，变为沃卓斯基姐妹。
hxd,2020,摘要： “好兄弟”的拼音首字母缩写，意思是好兄弟
内卷,2021,"摘要： 现在""内卷""是个热门词，各行各业，从学习到工作，言必谈内卷。什么是内卷呢，常举的一个例子，就是金庸武侠小说中的葵花宝典，这项武功是那些资质平凡练武人的救命良药，获得秘籍，练成能一统江湖，成为天下霸主"
爱的自杀再问供养,2018,摘要： 爱的自杀再问供养”是常见的网络流行语，关于“爱的自杀再问供养”是什么梗，“爱的自杀再问供养”出处在哪里
花痴,2014,"摘要： 有些女生故意做出花痴的样子,好勾引男人哦"
视觉中国,2019,摘要： 视觉中国的来源和意思一个特不要脸的版权图片分享网站。事件来源于2019年4月10日，全球多个国家同时召开发布会，公布了首次拍摄到的黑洞图片，本来这个图片是全人类共同所有的，然而却被爆视觉中国在黑洞照片上
口嗨,2021,摘要： 口嗨的来源和意思指的是嘴上说的有多好多好，实际上却做不到，只会吹牛逼，说得多么天花乱坠，却无法履行承诺，也经常被人叫做口嗨狗。在实际使用过程中，多有吹牛逼、撩骚等意思。特别是在泡妞的时候，可能说了，什么
伪娘,2017,摘要： 我喜欢伪娘，但我更喜欢真娘
小姐姐,2019,摘要： 小姐姐，网络流行词，作为一个&nbsp;从二次元火起来的词汇，“小姐姐”这&nbsp;个词的早期含义是粉丝对萌系女生&nbsp;的称呼，它有着严格的定义。对于宅男来说，不是随随便便什么&nbsp;御姐软
骚年,2015,摘要： 中国青骚年性生活协会?其实是中国青少年新生活协会啦
黄台之瓜，何堪再摘,2019,摘要： 黄台之瓜，何堪再摘的来源和意思该句是香港富商李嘉诚在香港暴乱时，于多家报纸买下版面，全版刊登的词句，并署名“一个香港市民李嘉诚”。本句来自唐章怀太子李贤所作古诗“种瓜黄台下，瓜熟子离离。一摘使瓜好，再摘
多人运动,2020,摘要： 多人运动的来源和意思这个词来源于2020年4月23日，罗志祥（前）女友周杨青爆出的分手帖，她说了罗志祥是一个很渣很渣的渣男，只要不跟他在一起的时候，都会约异性去家里做一些不可描述的事情，更过分的是，经常
二次元,2014,摘要： 俺喜欢三次元中的mm，但俺更喜欢二次元中的
熔炉,2019,摘要： 由黄东赫导演，孔枝泳编剧，孔刘，郑裕美，金贤秀，金志映等人主演的韩国电影。以发生于光州一所聋哑障碍人学校中的性暴力虐童事件为蓝本改编而成。因为造成巨大社会反响，推动了相关法律的完善，而被誉为“改变了一个
冰冰/碎冰冰/忘忘碎冰冰,2021,摘要： 冰冰/碎冰冰/忘忘碎冰冰的出处《灵笼》中终章角色冉冰对兽化的马克“献祭”后，变成肉土，最终被坏蛋打碎的过程被某些现众称为“碎冰冰”，从而引发一场“还我冉冰”的弹幕狂潮。而后来出现的白老板——白月魁由于登
老司机,2019,摘要： 指混迹在某个圈子时间较长，熟悉圈内规则、技术、玩法，并掌握着一定资源的老手。1024也指在性方面了解很多，经常讲荤段子，或对黄色电影很有研究的人
银枪小霸王,2017,摘要： 银枪小霸王的枪究竟强悍不？
你节操掉了,2015,摘要： A：“我要推倒这个世界上所有的妹子。” 众网友：“骚年，你节操掉了...”
恢单女,2014,摘要： 恢单女是最近网络上被频繁使用的一个热词，那么，恢单女究竟是什么意思呢？
粉木耳,2014,"摘要： 我姐是粉木耳,我妹也是粉木耳"
绿帽子,2014,摘要： 你妻子这么美丽动人又风骚，估计你以后要被戴绿帽子了哦
蜜桃女,2019,摘要： 蜜桃女的来源和意思看似娇滴滴，尝起来也甜美，内心却不可思议地坚强蜜桃女的使用例句蜜桃女的英文翻译
皇甫梦,2019,摘要： 多数人曾经有过的一个玛丽苏梦，幻想自己住在皇甫家的官殿里，每天上学有专车开道，爷爷是亚洲首富，在家用GPS，做一个被钱包围被帅哥围绕的纯纯粹粹的玛丽苏公主小妹。
不哭站起来撸,2014,摘要： 不哭站起来撸来源出自百度李毅吧的网络词语，意思是“屌丝不哭，站起来撸”的缩略形式。不哭站起来撸用法安慰一个失落的人的时候，当一个朋友落魄的时候，我们就可以来一局“屌丝不哭，站起来撸”
二次元,2014,摘要： 俺喜欢三次元中的mm，但俺更喜欢二次元中的
软香蕉,2015,摘要： 每个黑木耳背后总有无数个软香蕉的故事
献祭流,2018,摘要： 献祭流的来源和意思献祭流是手机游戏王者荣耀里面最近流行的一种玩法，这种玩法只适合雅典娜这个英雄，为什么只适合雅典娜呢，因为雅典娜的被动是死后还可以操作灵魂移动，复活的时候，灵魂在哪里，就在那个地方复活，
苏卡不列,2020,摘要： 苏卡不列的来源和意思该词来源于俄语“Сука блядь”的音译。俄罗斯国骂，大意为“狗娘养的”，在俄罗斯经常可以听到用这句话来骂人。блядь原意为女性性工作者、下贱的女人，Сука原意为母狗、坏蛋。
穿越,2014,摘要： 今天在飞机站看到一古装MM，瞬间感觉穿越了。
痴汉,2014,"摘要： 把镜子放在电车地板上，利用反射原理偷看女生裙底,巨屌的痴汉啊"
闪,2015,"摘要： 大便来也,速度闪人啊"
胖若两人,2018,摘要： 胖若两人由成语“判若两人”发展衍生出来的网络词语，作为网络语的使用其实由来已久，真正流行起来确是在这两三年。
私换,2020,摘要： 私换的来源和意思即Direct Swap，Postcrossing（PC）的一种玩法，与官片相对。不同于官片有编号、能追踪，私换明信片完全建立在两个PCer的私下约定上。最常见的私换可以是在对方资料页发
小样,2017,"摘要： 小样,新来的吧"
衣品好,2019,摘要： 衣品好是形容某个人很会穿衣搭配的意思。有时候判断一个人衣品好不好并不在于穿的多么时髦，也不在于穿的衣服是不是最新款，是不是大牌，而在于她是不是很会穿，这里特别强调搭配。因为搭配得好，所以给人一种这身衣服
油土鳖,2019,摘要： YouTube的音译
试爱,2015,"摘要： 非法同居--试婚--试爱,社会在不断进步啊"
18岁,2017,摘要： 今天早上起床，一看朋友圈，瞬间就被震惊了，大部分的人都在朋友圈晒起了18岁照片，这究竟是为什么呢朋友圈晒18岁照片是什么梗？为什么朋友圈都在晒18岁照片？
百合,2014,"摘要： 一起吃饭,睡一张床,我们姐妹俩是一对好百合"
推水晶,2019,摘要： 本意是手游《王者荣耀》中，谁家的水晶被推（打坏）了，谁就输了。后来被使用到生活中，被推水晶意味着输了、没戏了的意思。
